,Reviewer Name,Rating,review name,Date,Verified Purchase,Review Text,Helpful Count
,Nicholas,3.0 out of 5 stars,"3.0 out of 5 stars
  It's okay for emergencies","Reviewed in the United States on August 28, 2019",,"Does the job in a pinch but don't expect miracles. It's slow and the battery life isn't great, but it's portable and easy to store.",
,Kat,5.0 out of 5 stars,,,,This thing is surprisingly robust despite its size.,
,Jkwell,5.0 out of 5 stars,"5.0 out of 5 stars
  Great buy","Reviewed in the United States on May 5, 2024",,This compact compressor is a winner in every category.,
,Theresa N Riley,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 28, 2018",,I appreciate the professional-grade customer support I received.,
,Chris B.,5.0 out of 5 stars,"2.0 out of 5 stars
  Battery life is disappointing","Reviewed in the United States on November 12, 2025",No,"The inflator itself is decent, but the battery dies so quickly. Can barely do two tires before needing a recharge. Also gets quite hot during use. Not great for road trips.",11 people found this helpful
,Amazon Customer (Irin),5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on September 11, 2025",No,Absolutely the best gadget I purchased all year; incredibly simple to use.,5 people found this helpful
,Michelle,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on May 5, 2020",,I no longer rely on sketchy equipment I find while traveling.,
,Noah,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on May 5, 2017",,"I have been looking for another air inflator to take along with me when I go riding or side by siding, so I looked in to getting this one. The functionality of this air compressor is amazing! The size, speed of inflating tires, and heat level is great. I have no complaints! I love the compact size so you can literally carry it in your backpack, the luggage dept on motorcycles, or in the trunk of your vehicles. The design is very sleek and all the components are very nice as well. Using this in rainy weather has not deterred it either, it is very durable in all types of weather.",
,Laura,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on September 28, 2024",,"Works better than my older, larger air hose unit.",
,Nicholas,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on May 5, 2018",,This inflator is a truly indispensable tool for every driver.,
,Juliana Asamoah,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on March 12, 2024",,This is exactly the kind of smart tool I was searching for.,
,BURN,5.0 out of 5 stars,"5.0 out of 5 stars
  works as needed.","Reviewed in the United States on September 11, 2025",No,I was back on the road in minutes thanks to this tiny pump.,5 people found this helpful
,MGS,5.0 out of 5 stars,,,,The battery sustained multiple top-offs on a single charge.,
,F. A. Barillas,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 11, 2021",,"Even with its small form factor, the power output is impressive.",
,Helen,5.0 out of 5 stars,"5.0 out of 5 stars
  Older Lady Friendly","Reviewed in the United States on September 28, 2025",No,Works incredibly fast. Outperforms my previous unit. Hose is longer too which is really a plus. Highly recommend.,4 people found this helpful
,PJS,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on May 5, 2020",,Great,
,PJS,5.0 out of 5 stars,,,,"I bought the MODARI tire inflator and it has been an excellent investment. Its 160 PSI power really makes a difference, inflates a tire in minutes and is 4 times faster than other inflators I've tested. The best part is that it's wireless, so I don't need to be near a power outlet or rely on the car's cigarette lighter.
 

 It has a very accurate and easy-to-read digital gauge, and I love that you can preset the desired pressure – the inflator automatically stops when it reaches that level, preventing overinflation. It is compact, lightweight and perfect to carry in the car or even in your backpack if you go on a motorcycle or bike.
 

 Plus, it comes with several mouthpieces, so I've used it to inflate inflatable balls and mattresses as well. A gadget that should not be missing in any vehicle. 100% recommended!",
,TheAviator,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on May 5, 2021",,"It's small, powerful, comes with multiple tips for different applications and a carry bag. I had a air pump in my car, but my daughter borrowed and never gave it back. I've been looking for a replacement and this model fits the bill perfectly. I find uses all the time like car tires, trailer tires, wagon tires, bike tires, balls etc. This guy does it all. I plan on keeping it in my trunk for emergencies while I'm on the road. I love that it comes with a soft carry back which makes it easy to store and takes up minimal space. Set your pressure number and watch it go. It came almost fully charged and ready to go. Recharges in a couple of hours. Only thing better would be to include a 12V car charger options.",
,Noah,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 11, 2022",,I am totally sold on the benefits of this cordless technology.,
,David C. Seeholzer,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on May 5, 2024",,"Life saver! It airs up my tires so fast! The battery life is impressive! I used it 8 times before I had to recharge it so it wasn’t a one and done! It’s super functional as we’ve used it to blow up pool floats, car tires, footballs! It’s an amazing price too! The size is perfect for your glove box without taking up all the room!",
,Stephen,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on August 28, 2021",,The unit stays cool enough during short inflation bursts.,
,Diane,3.0 out of 5 stars,"3.0 out of 5 stars
  Decent but not great","Reviewed in the United States on February 20, 2025",No,It gets the job done but it's not the fastest. Battery life is acceptable. Good to have in the car for emergencies but I wouldn't rely on it exclusively.,23 people found this helpful
,Noah,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 11, 2021",,"I have used a regular compressor for everything and still do for power tools but this tool is so much more efficient for what it is made for. Not having a shop where I have a compressor running all the time meant pulling it out of storage, plugging it in, waiting for the pressure to build, dragging the hose to where I needed it, applying it to the tire, stopping to check where in the process I was, either applying more air or deflating after finding I had over inflated and repeating this process as needed. With this tool I simply set the desired pressure (It already is set for three standards and a fourth one you can customize) and hook it up. If the preset is not what you want then you can change it and it’s ready from then until you need to change it again. Once you connect it and turn it on, the display will tell you what pressure will be applied and what the current pressure is. If it is under pleasured it will automatically begin pumping air until the desired pressure is achieved and then stop. When you have completed the process the size is small enough to store in your glove box and is ready for the next time. The battery indicator gives you plenty of notice of when to recharge but just in case, most newer cars have USB ports and you can use these to charge it also. Needless to say, I am completely sold on this product and think you will be also.",
,ERCW,4.0 out of 5 stars,,,,I am now a happy and confident owner of this essential tool.,
,Theresa N Riley,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on May 5, 2019",,It’s wonderfully portable and easily fits right into my glove box.,
,MGS,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on February 20, 2019",,"This winter, I have spent way too much time and money putting air in our cars' tires. Each time this has to be done, I've gone to the local gas station, fiddled with the stupid air compressor in the freezing weather. Hands numb, I'd put some air in and then use my gauge to try and figure out how much more was needed. Again and again and again. Each week as the temps dropped, this was my routine. Sometimes the air compressor wasn't available, sometimes it didn't work. Every time it was almost impossible to accurately figure out how much air was needed.
 

 AND THAT IS WAS THE PAST because this little portable air compressor is AWESOME.
 

 It is basically a battery (which can also be used to charge your phone in an emergency) with an air compressor. But the best part is that you can easily set it to your desired air pressure, connect it to your tires, and it does all the work! It will fill the tire to the desired air pressure and then stop. No fumbling with gauges and award compressor hoses.
 

 Now, this is basically a giant battery, so if you leave it in your car in the cold, it is going to drain pretty fast. So be aware of that.
 

 Charging the unit in my house was pretty fast. It came mostly charged and I topped it off to 100%. Then I went out and did a total of 8 tires and the battery had barely budged. So clearly this can do quite a bit of work on a single charge.
 

 Overall, this is a fantastic buy and we are going to be getting one for each car we have and charging it regularly. Totally worth every penny.",
,Sophia,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on August 28, 2020",,The inflation speed is completely acceptable for its size.,
,Brenda,5.0 out of 5 stars,"5.0 out of 5 stars
  Excellent Product","Reviewed in the United States on February 20, 2024",,"Makes regular tire checks a quick, hassle-free task.",
,Kal-El,5.0 out of 5 stars,,,,"Much better than trying to mess with those old, unpredictable quarter machines.",
,Nathan,4.0 out of 5 stars, 4.0 out of 5 stars,"Reviewed in the United States on March 12, 2018",,I checked the pressure on 8 tires and the battery barely dropped.,
,Bruce W. Mccaskey,4.0 out of 5 stars,,,,"Surprisingly quick for such a compact, handheld device.",
,Amazon Customer,5.0 out of 5 stars,"5.0 out of 5 stars
  Great buy","Reviewed in the United States on February 20, 2024",,"Absolutely the best thing I bought all year!!simple self explanatory easy to use! Takes about 5 minutes to add 7 lbs! That sounds slow, but, there is no holding the hose, no trying to get the nozzle in the exact position! You screw it on and push the button, stand back and wait for it to shut off!! Simple!",
,ERCW,1.0 out of 5 stars,"1.0 out of 5 stars
  Waste of money","Reviewed in the United States on September 28, 2025",No,Stopped working after two weeks. The motor makes a weird grinding noise and doesn't inflate properly anymore. Very disappointed.,4 people found this helpful
,Scott Gresko,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 28, 2018",,"I dont normally writw reviews but this one was worth noting. I love this device, it has already saved me twice, every woman should have one of these in their car fully charged for their own protection. I love the fact that you can preset the psi sit in the car while it is running, it doesn't go past the psi set and you stay safe, warm and dry. However, after filling one tire, it had to be completely recharged, which took a while but I was able to recharge during my work day so it was ready to go again if needed and it was needed, thankfully, it was fully charged and worked great.",
,Kathleen,5.0 out of 5 stars,5.0 out of 5 stars,"Reviewed in the United States on September 11, 2023",,It's extremely powerful for something that fits in my jacket pocket.,
,Linda,5.0 out of 5 stars,Perfect just in time,"Reviewed in the United States on May 5, 2022",,Love this Airmoto! It is so easy and quick to use. Should have purchase this pump years ago! Thank you,
,Abbie Parsons,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on March 12, 2020",,It’s the best portable air compressor I've encountered.,
,Eric,4.0 out of 5 stars,"4.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on February 20, 2024",,"Life saver! It airs up my tires so fast! The battery life is impressive! I used it 8 times before I had to recharge it so it wasn’t a one and done! It’s super functional as we’ve used it to blow up pool floats, car tires, footballs! It’s an amazing price too! The size is perfect for your glove box without taking up all the room!",
,Oliver,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on March 12, 2019",,"Just set the pressure, push the button, and enjoy the convenience.",
,Laura,4.0 out of 5 stars,,,,I’m impressed by the long-term durability of the unit.,
,R.,4.0 out of 5 stars, 4.0 out of 5 stars,"Reviewed in the United States on September 11, 2019",,"I was honestly surprised by how much I love this little gadget! The MODARI tire inflator is compact enough to fit in my glove box, but powerful enough to inflate my car tires in just a few minutes. The digital display is super clear, and I love that it automatically shuts off when it hits the preset pressure. It comes with different nozzles, so I’ve used it for my bike, my son’s basketball, and even a pool float. It’s lightweight, easy to use, and perfect for emergencies or regular maintenance. A great buy for anyone who wants peace of mind on the road!",
,Amelia,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on February 20, 2018",,"Pros: - Portable - Easy to Use - Comes with charging cable Cons: - Noisy (though I do not have another brand to compare it to, maybe they are all this noisy) - Battery went from green to yellow very fast (after 2 tires). I haven't tried using it for 2 cars at a time to see if it has enough battery for 8 tires. One car it has enough, and then I charge it up again after. So far it has enough battery for what I need out of it. I am pleased that I do not have to worry about going to a gas station to put in air in my tires now. A lot of stations charge or if they turn it on for free for you it doesn't last long and you keep having to go to them to turn it back on. My 2013 Kia Optima tends to lose air pressure easily when the weather is cold so this has given me a peace of mind knowing I have this in case. Also worked great for my sister's new 2024 Kia Sportage. I think it was worth the money spent.",
,Helene,5.0 out of 5 stars,,,,It's the ultimate solution for dealing with slow leaks.,
,Richard,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on May 5, 2017",,"A genius product that solves a common, annoying problem.",
,Pamela,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on February 20, 2023",,The inflation rate meets my needs perfectly for quick top-ups.,
,Andi,5.0 out of 5 stars,"5.0 out of 5 stars
  A little work horse","Reviewed in the United States on August 28, 2024",,So much better than dragging out my large garage compressor.,
,Elizabeth,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 11, 2019",,I bought it as a gift and the recipient absolutely loves it.,
,Peter,5.0 out of 5 stars,"5.0 out of 5 stars
  Whole Lotta air","Reviewed in the United States on February 20, 2025",No,I used it to inflate my motorcycle tires before a long ride.,23 people found this helpful
,Jim P.,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 11, 2017",,"UPDATE - The company contacted me and offered some troubleshooting tips to see if the product would work better. Ultimately they offered me the newer version (model AP002). I'll try the new product soon and leave a review on that product page. I was impressed with the customer service. Tina checking in with me several times through Amazon messages. She definately cared about customer satisfaction. I increased this rating from 3 stars to 5 stars due to her customer service.
 

 ORIGINAL - Don't count on this thing to fill a flat tire. I increased two tires from 30psi to 40psi...it took each tire about 5 minutes and the battery indicator was red after the second tire. It started with a fully charged battery. This thing will not give you 40 min of continuous run time and I highly doubt it will inflate a flat tire. It takes about 2 hours to fully charge by USB. This thing is OK to inflate 1 or 2 low tires if you're on a road trip...and that's about it. It would be better if it had the ability to be powered by a 12v cigarette lighter socket with a long cord to reach all of the tires.",
,Aaron,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 11, 2022",,"Great little pump can only do one tire in a dead flat, but it does the trick in a pinch to get you going to get the tire fixed instead of changing a flat in the cold.",
,Timothy,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on August 28, 2018",,I use it regularly to ensure perfect tire performance.,
,Richard,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on February 20, 2020",,"This small compressor is very impressive. It inflated 2 completely flat 235/45-17"" tires and still had 3/4+ battery capacity. I think it can inflate a few completely flat, larger truck tires on a single charge. Easy to use, with connections at either end bring precise (no air leakage).",
,Anonymous,1.0 out of 5 stars,"1.0 out of 5 stars
  Disappointed","Reviewed in the United States on February 20, 2022",,This didn't work as expected. The battery died after one use and it took forever to inflate my tire. Not worth the money.,
,Lawrence S. Romaine,5.0 out of 5 stars,5.0 out of 5 stars,"Reviewed in the United States on August 28, 2023",,I finally feel prepared for any roadside flat tire situation.,
,Henry,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on March 12, 2018",,I was nicely surprised that this small device works so great. My son tire was very plate and it did the job.,
,NetShopper,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 28, 2021",,"Life saver! It airs up my tires so fast! The battery life is impressive! I used it 8 times before I had to recharge it so it wasn’t a one and done! It’s super functional as we’ve used it to blow up pool floats, car tires, footballs! It’s an amazing price too! The size is perfect for your glove box without taking up all the room!",
,Amazon Customer,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on February 20, 2020",,Extreme portability is the key to the success of the Airmoto. I can literally carry an air compressor in my pocket without need for a connection to electricity. Perfect!,
,Michelle,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on August 28, 2020",,The included storage bag keeps it organized and protected.,
,Brian M. Roberts,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 28, 2017",,I’ve owned it for months and it still works like brand new.,
,Theresa N Riley,5.0 out of 5 stars,,,,I filled 4 tires 4psi per tire and it took me about 10 to 12 minutes to complete. Battery could have probably done 4 more on a single charge. Device comes with a hose that stores inside the unit so it is small in length but that makes this extremely portable and easy to store in my glove box. For the price this is a steal.,
,Baoxin Lai,4.0 out of 5 stars,,,,This compact compressor is a winner in every category.,
,Ethan,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 28, 2019",,It handles my larger truck tires slowly but surely.,
,PJS,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on February 20, 2017",,It’s small enough to take on motorcycle trips in a saddlebag.,
,Been there,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 28, 2018",,Great item to have in your glove box. No wires just put on your tire then set your desired pressure and start. It will stop on its own after reaching the pressure you set at the beginning. I have used it few times since I got it and so far no complaints. Small enough to store in a big pocket and the ability to recharge via USB is a huge plus. Happy with the purchase. I use this to keep my tires inflated to the correct pressure on a Toyota tundra. So it can handle full size tires no problem. Just be careful as the connector can get hot.,
,Christopher,4.0 out of 5 stars,,,,"I have been looking for another air inflator to take along with me when I go riding or side by siding, so I looked in to getting this one. The functionality of this air compressor is amazing! The size, speed of inflating tires, and heat level is great. I have no complaints! I love the compact size so you can literally carry it in your backpack, the luggage dept on motorcycles, or in the trunk of your vehicles. The design is very sleek and all the components are very nice as well. Using this in rainy weather has not deterred it either, it is very durable in all types of weather.",
,Joel,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on September 11, 2024",,"As a girly who is driving all day every day, this product is a must have. I’ve used it to inflate my car tyre and the process was quick and easy. The pressure was great and the material used to make it seems sturdy enough to last for a long while. This product has given me a greater sense of security because I can quickly help myself and get on the way when I need to. It’s also small enough to fit neatly in your car without being a nuisance. And best of all, it’s rechargeable so you can use it in any space without having to worry about a power source.",
,Scott Gresko,5.0 out of 5 stars,"5.0 out of 5 stars
  Well worth it!","Reviewed in the United States on May 5, 2025",No,Clear instructions make it easy to use. It took me just a minute to add five pounds to tire pressure. Excellent battery life. Much better than trying to use those gas station air pumps.,30 people found this helpful
,Jenny,5.0 out of 5 stars,,,,I bought it as a gift and the recipient absolutely loves it.,
,ERCW,5.0 out of 5 stars,,,,"This thing has come in handy so often, I can't imagine not having it.",
,Tyler,4.0 out of 5 stars,,,,This cute little machine is a wonderful idea but if you have a puncture instead of a regular flat you’ll have to get the spare tire out. You will know either way with this little machine. I wish that I got the one that is a 2n1 machine that also gives you a jump start. Now I’ll have to give this little cutie as a gift but to who 🤔,
,Amy,5.0 out of 5 stars,,,,I trust the readings over the built-in system in my car.,
,EHRITCORP,4.0 out of 5 stars, 4.0 out of 5 stars,"Reviewed in the United States on August 28, 2017",,It’s perfect for travel and unexpected low tire warnings.,
,Joshua,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 11, 2021",,"Review PROS: Focus is on the amount of air being moved versus battery capacity. It added 3 PSI to all 4 of my my P235/55R19 tires for my hybrid Tucson in about 6 - 7 minutes total as the airflow is a fast 35 LPM. It has a nice long air hose that is almost 20 inches and it is the screw type Schrader valve which I've been looking for. I have large hands and I am a Sr. Citizen. By the time I find the Schrader valve on the tire it's buried inside the fancy wheel rims that come with the SUV. So I prefer the screw on type as I lose less air than I do with the clip on type. I am not enamored with the clip on type which is using a plastic lock and I really question how long that will work and not break. This is why I bought this model versus the newer model that actually has 45LPM and it comes with a storage case for the same price as I paid for this model. The manufacturer claims 40 minutes continuous battery use which is more than enough to fill ~ 20 tires but that's based on smaller tire dimensions, usually they are quoting 16 or 17-in width tires versus my 19-in. Many of my retired friends feel the same way as it's much easier for us to deal with the screw on Schrader valve than it is the press on lock type hose fitting. If the new model had the screw on type I would have bought that as it would have saved me some money but that's how strongly I feel about having the screw on type air hose. With the reduced amperage on the battery it makes it much lighter and also smaller. I found the case that holds all the fittings in the air hose in a much smaller dimension case that easily fits into my Tucson or RAV 4 glove boxes. It has a bag to hold all the cords and attachments. It has strong air transfer claiming 4X faster air transfer which is the key thing. (Who needs four hours of continuous battery capacity?? At that point I'll pull out my small air compressor and get it all done < half that time)! I attached a photo of the new case versus the old case I procured for a different model that had a 25,000 aMh battery so that was the case that fit for that type of unit The display is bright and pretty intuitive settings on thev AP1001. I have updated my review to five stars for two reasons: I used this on a recent road trip to Oregon and California. I aired up my tires four times and the battery was still charged up enough to NOT be in the red. Also the customer service as mentioned by a few people is very good. I called to register this product for the warranty which is 18 months and they actually upgraded to 2 years which is one of the better warranties out there. CONS: the new model uses the press on type connector versus the screw on air hose. Plus the new model is the same price as the old model with better performance and an includes a storage case with it. It would also be nice to come with the cigarette lighter extension so you had dual power as many of the other competing models do but not that big of a deal to me.",
,Michelle G.,5.0 out of 5 stars,"3.0 out of 5 stars
  Mixed feelings","Reviewed in the United States on October 25, 2025",Yes,"Some things I like: portable, digital display, auto-shutoff. Some things I don't: loud operation, short battery life, gets warm quickly. It's okay overall. Not amazing, not terrible.",4 people found this helpful
,Aaron,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on August 28, 2018",,I've used it at least 10 times and it continues to perform flawlessly.,
,Maria,1.0 out of 5 stars,"1.0 out of 5 stars
  Don't buy this","Reviewed in the United States on February 20, 2018",,"The unit arrived damaged and when I finally got a replacement, it barely had enough power to inflate a bicycle tire. Save your money.",
,Pam P,5.0 out of 5 stars,,,,"I purchased this portable tire inflator air compressor, and it has exceeded all my expectations! I have a slow leak in my rear driver side and this has been a game changer! It’s incredibly compact and lightweight, making it easy to store in my car without taking up much space. The build quality is solid, and it feels durable enough to withstand regular use.
 

 One of the standout features is its ease of use. The digital display is clear and easy to read, and the automatic shut-off function ensures that I never overinflate my tires. It also comes with multiple nozzle attachments, which is perfect for inflating not just car tires, but also bike tires, sports equipment, and even air mattresses.
 

 The inflator is surprisingly powerful for its size. It quickly brought my car tires up to the correct pressure, giving me peace of mind. The built-in LED light is a thoughtful addition, making it convenient to use even in low-light conditions.
 

 Overall, this portable tire inflator air compressor is reliable, efficient, and incredibly user-friendly. I highly recommend it to anyone looking for a dependable solution to keep their tires properly inflated.",
,Stephanie,5.0 out of 5 stars,,,,"I bought the MODARI tire inflator and it has been an excellent investment. Its 160 PSI power really makes a difference, inflates a tire in minutes and is 4 times faster than other inflators I've tested. The best part is that it's wireless, so I don't need to be near a power outlet or rely on the car's cigarette lighter.
 

 It has a very accurate and easy-to-read digital gauge, and I love that you can preset the desired pressure – the inflator automatically stops when it reaches that level, preventing overinflation. It is compact, lightweight and perfect to carry in the car or even in your backpack if you go on a motorcycle or bike.
 

 Plus, it comes with several mouthpieces, so I've used it to inflate inflatable balls and mattresses as well. A gadget that should not be missing in any vehicle. 100% recommended!",
,Jonathan,3.0 out of 5 stars,"3.0 out of 5 stars
  Fair value","Reviewed in the United States on May 5, 2023",,"Pros: compact, easy to use. Cons: slow inflation, noisy, battery drains quickly. It's decent for occasional use but not for regular maintenance.",
,Ronald,4.0 out of 5 stars,"4.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on May 5, 2024",,It consistently delivers the exact pressure I set.,
,Mike V,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on May 5, 2018",,"Life saver! It airs up my tires so fast! The battery life is impressive! I used it 8 times before I had to recharge it so it wasn’t a one and done! It’s super functional as we’ve used it to blow up pool floats, car tires, footballs! It’s an amazing price too! The size is perfect for your glove box without taking up all the room!",
,rdeank,5.0 out of 5 stars,,,,"Pros: - Portable - Easy to Use - Comes with charging cable Cons: - Noisy (though I do not have another brand to compare it to, maybe they are all this noisy) - Battery went from green to yellow very fast (after 2 tires). I haven't tried using it for 2 cars at a time to see if it has enough battery for 8 tires. One car it has enough, and then I charge it up again after. So far it has enough battery for what I need out of it. I am pleased that I do not have to worry about going to a gas station to put in air in my tires now. A lot of stations charge or if they turn it on for free for you it doesn't last long and you keep having to go to them to turn it back on. My 2013 Kia Optima tends to lose air pressure easily when the weather is cold so this has given me a peace of mind knowing I have this in case. Also worked great for my sister's new 2024 Kia Sportage. I think it was worth the money spent.",
,Mark O'Quinn,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on March 12, 2019",,"Muy útil en carreteras, para motos, bicicletas, para vehículos livianos te desvara rápidamente, aunque con el tiempo no le dura mucho la carga de la batería y para camionetas no es muy funcional toma mucho tiempo en inflar solo para vehículos livianos",
,Karen Burke,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on August 28, 2022",,So much better than dragging out my large garage compressor.,
,Michelle M Montrose,3.0 out of 5 stars,"3.0 out of 5 stars
  It's okay for emergencies","Reviewed in the United States on August 28, 2024",,"Does the job in a pinch but don't expect miracles. It's slow and the battery life isn't great, but it's portable and easy to store.",
,Richard,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on May 5, 2018",,I trust this device to get the job done right every time.,
,Steven,5.0 out of 5 stars,,,,The pump is very effective for managing my tractor's occasional low tire.,
,Kal-El,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on September 11, 2023",,"Five stars for ease of use, portability, and excellent battery life.",
,Joyce,4.0 out of 5 stars,,,,"I purchased this portable tire inflator air compressor, and it has exceeded all my expectations! I have a slow leak in my rear driver side and this has been a game changer! It’s incredibly compact and lightweight, making it easy to store in my car without taking up much space. The build quality is solid, and it feels durable enough to withstand regular use.
 

 One of the standout features is its ease of use. The digital display is clear and easy to read, and the automatic shut-off function ensures that I never overinflate my tires. It also comes with multiple nozzle attachments, which is perfect for inflating not just car tires, but also bike tires, sports equipment, and even air mattresses.
 

 The inflator is surprisingly powerful for its size. It quickly brought my car tires up to the correct pressure, giving me peace of mind. The built-in LED light is a thoughtful addition, making it convenient to use even in low-light conditions.
 

 Overall, this portable tire inflator air compressor is reliable, efficient, and incredibly user-friendly. I highly recommend it to anyone looking for a dependable solution to keep their tires properly inflated.",
,Joseph,5.0 out of 5 stars,Perfect just in time,"Reviewed in the United States on March 12, 2023",,My family members all want one now after seeing mine work.,
,Walter B.,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on March 12, 2020",,"I have had this air compressor for almost a year now, and I really enjoy using it to inflate my SUV tires, basketballs, and other inflatable items. I love the small compact size, which make it very easy to store and tuck it away into a small compartment in the back of my SUV. My wife also loves it, and uses it for adding air to our water tank for our osmosis water filter. Great product!",
,Peter,5.0 out of 5 stars,,,,The clear display helps a lot when checking tires in the shade.,
,Amy,5.0 out of 5 stars,"5.0 out of 5 stars
  Great buy","Reviewed in the United States on September 28, 2024",,"The device is lightweight, yet it feels incredibly durable.",
,Brian M. Roberts,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on March 12, 2024",,"Great pump, filled my travel trailer tires at the camp site went from 42psi to 50psi in 2.5 minutes (both tires). 3 things, 1. Gets hot after first fill, 2. Do not set on dirt, the air intake is on the bottom of the unit and it will clog, 3. fully charge before using, will drain quick.",
,David,5.0 out of 5 stars,Perfect just in time,"Reviewed in the United States on September 28, 2022",,"This little tire inflator does exactly what it is supposed to do. Charging the battery in the unit doesn't take long, but you need your own USB AC adapter since the inflator only comes with the USB cable. It will bring two sets of four tires up to capacity on one charge and still have juice left. It inflates tires quickly, and can take a tire that is 10 pounds under to fully inflated in under two minutes. The only negative thing about this device so far is that it is loud!!",
,Donna,5.0 out of 5 stars,Perfect just in time,"Reviewed in the United States on September 28, 2022",,"I recently purchased the MODARI Tire Inflator, and it has quickly become an essential part of my travel gear! This portable air compressor is a game-changer for road trips, daily maintenance, and emergencies.
 

 First off, the inflation speed is impressive. It took just about a minute to top up my car tire from 30PSI to 36PSI, which is perfect when you're in a hurry. The 22,000RPM motor delivers strong airflow, and the cooling technology ensures it doesn’t overheat even during extended use.
 

 Battery life is another standout feature. With its 7800mAh battery, I can inflate multiple tires on a single charge without worrying about frequent recharging. The power efficiency is noticeably better than other inflators I’ve used.
 

 The preset modes for cars, motorcycles, bikes, and balls make it super convenient, and the custom mode allows for precise adjustments. The LED screen is bright and easy to read, even under sunlight. I also love the auto shut-off feature, which prevents over-inflation and ensures safety.
 

 Another great touch is its multi-functionality. Not only is it an excellent tire inflator, but it also serves as a power bank and emergency flashlight—perfect for camping trips or unexpected roadside situations.
 

 Overall, the MODARI Tire Inflator is reliable, fast, and packed with useful features. It saves time and effort compared to visiting a gas station, and its compact design makes it easy to store in the car. Highly recommended for anyone who wants a high-quality, portable air compressor!",
